text,answers,คำพิพากษาศาลฎีกาที่
"โจทก์ฟ้องว่า เดิมที่ดินโฉนดเลขที่ 17419 ตำบลพระปฐมเจดีย์ (สระน้ำจัน) อำเภอเมืองนครปฐม จังหวัดนครปฐม เนื้อที่ 2 ไร่ 3 งาน 81 ตารางวา และที่ดินโฉนดเลขที่ 12253 ตำบลพระปฐมเจดีย์ (สระน้ำจัน) อำเภอเมืองนครปฐม จังหวัดนครปฐม เนื้อที่ 1 งาน 94 ตารางวา เป็นกรรมสิทธิ์ของโจทก์มีเขตติดต่อเป็นผืนเดียวกัน โจทก์ซื้อมาจากนางแฉล้มและมีทางออกสู่ทางสาธารณะทางที่ดินโฉนดเลขที่ 17419 ต่อมาปี 2523 จำเลยฟ้องโจทก์ต่อศาลชั้นต้น ในที่สุดศาลฎีกาพิพากษาให้โจทก์โอนขายที่ดินบางส่วนของที่ดินโฉนดเลขที่ 17419 จำนวน 300 ตารางวา แก่จำเลย มีการแบ่งแยกกรรมสิทธิ์ออกเป็นโฉนดเลขที่ 79060 ตำบลสนามจันทร์ อำเภอเมืองนครปฐม จังหวัดนครปฐม หลังจากแบ่งแยกที่ดินขายให้แก่จำเลยไปแล้ว ทำให้ที่ดินทั้ง 2 แปลง ของโจทก์ไม่ติดต่อกัน และตกอยู่ในวงล้อมของที่ดินแปลงอื่น ไม่มีทางเข้าออกสู่ทางสาธารณประโยชน์ โจทก์มีความจำเป็นต้องใช้ทางเป็นถนนออกจากที่ดินของโจทก์ทั้ง 2 แปลง โดยผ่านที่ดินโฉนดเลขที่ 79060 ของจำเลย มีความกว้าง 6 เมตร เพื่อใช้เป็นทางให้รถบรรทุกเข้าไปขนส่งวัสดุสินค้าในที่ดินทั้ง 2 แปลง ของโจทก์ โจทก์แจ้งให้จำเลยเปิดทางจำเป็นแล้วแต่จำเลยเพิกเฉย ขอให้จำเลยเปิดทางจำเป็นเพื่อสร้างถนนความกว้าง 6 เมตร จากที่ดินของโจทก์โฉนดเลขที่ 17419 ตำบลพระปฐมเจดีย์ (สระน้ำจัน) อำเภอเมืองนครปฐม จังหวัดนครปฐม และโฉนดเลขที่ 12253 ตำบลพระปฐมเจดีย์ (สระน้ำจัน) อำเภอเมืองนครปฐม จังหวัดนครปฐม ผ่านที่ดินของจำเลยโฉนดเลขที่ 79060 ตำบลสนามจันทร์ อำเภอเมืองนครปฐม จังหวัดนครปฐม ไปจนถึงทางสาธารณประโยชน์ตามที่ปรากฏในแผนที่สังเขปท้ายฟ้อง สำหรับรถบรรทุกใช้เป็นทางเข้าออกขนส่งวัสดุสินค้า โดยห้ามจำเลยทำสิ่งกีดขวางใดอันทำให้ความสะดวกลดน้อยลง
จำเลยให้การว่า โจทก์ไม่อาจอ้างเพื่ออาศัยสิทธิตามกฎหมายที่จะผ่านที่ดินของจำเลยตามฟ้อง กล่าวคือ ที่ดินโฉนดเลขที่ 17419 ของโจทก์มีทางเข้าออกสู่ทางสาธารณประโยชน์โดยผ่านที่ดินโฉนดเลขที่ 12255 ของโจทก์อีกแปลงหนึ่งและผ่านต่อไปยังที่ดินโฉนดเลขที่ 16529 ออกไปยังถนนสาธารณประโยชน์ คือ ถนนทรงพลได้โดยสะดวกไม่มีเหตุใดต้องผ่านที่ดินของจำเลย และปัจจุบันโจทก์และเครือญาติได้ดำเนินการปลูกสร้างอาคารให้บุคคลอื่นเช่าอยู่บนที่ดินโฉนดเลขที่ 17419 และใช้ทางเข้าออกเพื่อประโยชน์แก่ที่ดินดังกล่าวของโจทก์เป็นประจำ ที่ดินของจำเลยจึงไม่ใช่ทางจำเป็นเพื่อประโยชน์แก่ที่ดินของโจทก์แต่อย่างใด ส่วนที่ดินโฉนดเลขที่ 12253 ของโจทก์เป็นที่ดินที่แบ่งแยกมาจากที่ดินโฉนดเลขที่ 81 ซึ่งเดิมก่อนแบ่งแยกที่ดินโฉนดเลขที่ 81 ดังกล่าว มีทางออกสู่ทางสาธารณะด้านทิศเหนือติดถนนทรงพลและตอนกลางของที่ดินถูกตัดแบ่งเป็นถนนราชมรรคา ซึ่งโฉนดเลขที่ 81 ได้มีการแบ่งแยกเป็นหลายแปลงและมีการโอนกันต่อมา ทำให้ที่ดินโฉนดเลขที่ 12253 ไม่มีทางออกสู่ทางสาธารณะ โจทก์ต้องดำเนินการเปิดทางจำเป็นผ่านที่ดินแปลงที่แบ่งแยกที่ดินโฉนดเลขที่ 81 โดยไม่ต้องเสียค่าทดแทน โจทก์ไม่มีอำนาจเปิดทางจำเป็นผ่านที่ดินของจำเลย เนื่องจากที่ดินของจำเลยไม่ได้แบ่งแยกมาจากที่ดินโฉนดเลขที่ 81 หากต้องเปิดทางจำเป็นบนที่ดินของจำเลยกว้างถึง 6 เมตร จะทำให้ที่ดินส่วนที่เหลือของจำเลยไม่สามารถทำประโยชน์อื่นใดได้ อย่างมากควรเปิดทางเพียงประมาณ 2 เมตร สำหรับให้รถยนต์เข้าออกได้เท่านั้น ขอให้ยกฟ้อง
ศาลชั้นต้นพิพากษาให้ที่ดินโฉนดเลขที่ 79060 ตำบลสนามจันทร์ อำเภอเมืองนครปฐม จังหวัดนครปฐม ของจำเลยทางทิศตะวันตกด้านที่ติดกับที่ดินโฉนดเลขที่ 12253 ตำบลพระปฐมเจดีย์ อำเภอเมืองนครปฐม จังหวัดนครปฐม ของโจทก์ทางทิศใต้ตลอดแนวไปจนจรดทางสาธารณประโยชน์กว้างประมาณ 3 เมตร ตกเป็นทางจำเป็นแก่ที่ดินโฉนดเลขที่ 12253 ของโจทก์ดังกล่าว ค่าฤชาธรรมเนียมให้ตกเป็นพับ คำขออื่นนอกจากนี้ให้ยกเสีย
จำเลยอุทธรณ์","1350, 1349",6229/2551
โจทก์ฟ้องว่า โจทก์เป็นผู้จัดการมรดกของนางสาวฉันทนา บ๊อกสกุล โดยคำสั่งศาลชั้นต้น นางสาวฉันทนาเปิดบัญชีเงินฝากประจำชนิดกำหนด 3 เดือน ไว้แก่จำเลยที่ 2สาขาหาดใหญ่ โดยได้รับดอกเบี้ยทบต้น หลังจากนั้นนางสาวฉันทนามีหนังสือถึงจำเลยที่ 2 ขอแก้ไขเปลี่ยนแปลงเพิ่มเติมผู้มีอำนาจลงนามและเงื่อนไขการสั่งจ่ายเงินในบัญชีจากเดิมที่ให้นางสาวฉันทนามีสิทธิถอนเงินได้เพียงผู้เดียวเป็นให้นางสาวฉันทนาหรือจำเลยที่ 1 คนใดคนหนึ่งมีสิทธิถอนเงินและปิดบัญชีได้ต่อมานางสาวฉันทนาถึงแก่ความตาย จำเลยที่ 1 ได้ถอนเงินในบัญชีไปทั้งหมดและปิดบัญชีโดยจำเลยที่ 1 ไม่มีสิทธิ และจำเลยที่ 2 ประมาทเลินเล่ออย่างร้ายแรงขอให้บังคับจำเลยทั้งสองร่วมกันชำระเงิน,"306, 672, 1357, 1457",620/2543
"โจทก์ฟ้องว่า เมื่อวันที่ 9 ธันวาคม 2528 โจทก์ได้ทำสัญญาค้ำประกันการกู้ยืมเงินของนายประจักษ์หรือเชาว์ ศรียะพันธ์ไว้ต่อบริษัทเงินทุนหลักทรัพย์สยามธนการ จำกัด ซึ่งต่อมาเปลี่ยนชื่อเป็นบริษัทเงินทุนหลักทรัพย์ธนพล จำกัด ภายในวงเงิน300,000 บาท พร้อมทั้งดอกเบี้ยอัตราร้อยละ 21 ต่อปี โดยยอมรับผิดอย่างลูกหนี้ร่วม วันที่ 12 ธันวาคม 2528 นายประจักษ์กู้ยืมเงินไปจากบริษัทดังกล่าว จำนวน 300,000 บาท ยอมเสียดอกเบี้ยอัตราร้อยละ 21 ต่อปี ต่อมานายประจักษ์ถึงแก่ความตายเมื่อวันที่12 ธันวาคม 2531 ศาลชั้นต้นมีคำสั่งตั้งจำเลยซึ่งเป็นภรรยาเป็นผู้จัดการมรดกของนายประจักษ์และเมื่อวันที่ 9 มิถุนายน 2532โจทก์นำต้นเงินและดอกเบี้ยจำนวน 390,000 บาท ไปชำระแก่บริษัทดังกล่าวแทนนายประจักษ์ จำเลยในฐานะผู้จัดการมรดกและภรรยาโดยชอบด้วยกฎหมายของนายประจักษ์จะต้องรับผิดใช้เงินจำนวน 390,000 บาท พร้อมดอกเบี้ยอัตราร้อยละเจ็ดครึ่งต่อปีของต้นเงินจำนวนนั้นนับแต่วันที่ 9 มิถุนายน 2532 ถึงวันฟ้องเป็นดอกเบี้ยจำนวน 12,187 บาท รวมเป็นเงินทั้งสิ้น 402,187 บาทให้แก่โจทก์ ขอให้บังคับจำเลยชำระเงินจำนวน 402,187 บาทพร้อมด้วยดอกเบี้ยอัตราร้อยละเจ็ดครึ่งต่อปีของต้นเงิน 390,000 บาทนับถัดจากวันฟ้องเป็นต้นไปจนกว่าจะชำระเสร็จแก่โจทก์
จำเลยให้การว่า โจทก์ชำระเงินจำนวน 390,000 บาท ไปเองโดยไม่ได้บอกให้จำเลยหรือทายาทของนายประจักษ์ทราบ จำเลยจึงไม่ต้องรับผิดในเงินที่โจทก์ได้ชำระไป","164, 696, 1754",5241/2538
"โจทก์ฟ้องว่า จำเลยเป็นหนี้โจทก์ตามคำพิพากษาตามยอมในคดีแพ่งหมายเลขแดงที่ 17160/2532 ของศาลแพ่ง ซึ่งพิพากษาเมื่อวันที่ 3 ตุลาคม 2532 โดยจำเลยกับพวกยอมชำระเงินแก่โจทก์จำนวน 7,994,777.58 บาท พร้อมด้วยดอกเบี้ยอัตราร้อยละ 15ต่อปี ในต้นเงิน 5,280,000 บาท นับแต่วันที่ 11 กุมภาพันธ์ 2532จนกว่าจะชำระเสร็จ แต่ต้องชำระให้เสร็จภายใน 6 เดือน นับจากวันทำสัญญาประนีประนอมยอมความ กับชดใช้ค่าฤชาธรรมเนียมที่ศาลไม่สั่งคืนและค่าทนายความ 4,000 บาท หากผิดนัดยอมให้โจทก์ยึดทรัพย์จำนองออกขายทอดตลาดชำระหนี้หากไม่พอชำระยอมให้โจทก์ยึดทรัพย์สินอื่นออกขายทอดตลาดชำระหนี้จนครบ จำเลยกับพวกได้ชำระหนี้เพื่อไถ่ถอนจำนองหลายครั้งครั้งสุดท้ายวันที่ 11 มิถุนายน 2534 ชำระ 650,000 บาท เมื่อนำไปหักชำระหนี้ดอกเบี้ยและต้นเงินบางส่วนแล้ว จำเลยกับพวกยังคงเป็นหนี้ตามคำพิพากษาตามยอมอยู่อีก 4,433,822.06 บาท แล้วไม่ชำระแก่โจทก์อีกเลย โจทก์ได้ขอออกหมายบังคับคดีและสืบหาทรัพย์สินของจำเลยกับพวกเพื่อดำเนินการบังคับคดีแล้ว แต่จำเลยกับพวกไม่มีทรัพย์สินอย่างหนึ่งอย่างใดที่จะพึงยึดมาชำระหนี้ได้คำนวณยอดหนี้ถึงวันฟ้อง จำเลยกับพวกยังเป็นหนี้โจทก์เป็นต้นเงินจำนวน4,433,822.06 บาท กับดอกเบี้ยจำนวน 4,580,806.29 บาท รวมเป็นเงิน 9,014,628.35 บาท","229,293,296,340,682",2551/2544
" จำเลยที่ 1 ทำหนังสือสัญญาจะขายที่ดินตามหนังสือรับรองการทำประโยชน์ (น.ส. 3 ก.) ถึงกำหนดจำเลยที่ 1 ไม่ไปโอนที่ดินให้แก่โจทก์และได้ขอผัดผ่อนเรื่อยมา ต่อมาโจทก์ทราบว่าจำเลยที่ 1 จดทะเบียนขายที่ดินดังกล่าวให้แก่จำเลยที่ 2 และที่ 3 ทำให้โจทก์เสียเปรียบและได้รับความเสียหาย ขอให้เพิกถอนนิติกรรมขายที่ดินตามหนังสือรับรองการทำประโยชน์ (น. ส. 3 ก.) ระหว่างจำเลยที่ 1 กับจำเลยที่ 2 และที่ 3 แล้วให้จำเลยที่ 1 ขายที่ดินให้แก่โจทก์ หากจำเลยที่ 1 ไม่ปฏิบัติให้ถือเอาตามคำพิพากษาแทนการแสดงเจตนาของจำเลยที่ 1 หากจำเลยที่ 1 ไม่สามารถจดทะเบียนโอนขายที่ดินให้แก่โจทก์ได้ให้จำเลยที่ 1 ชดใช้ค่าเสียหายจำนวน ๘๐๐,๐๐๐ บาท แต่หากจำเลยที่ 2 และที่ 3 รับโอนที่ดินโดยมีค่าตอบแทนและโดยสุจริต ขอให้จำเลยที่ 1 คืนเงินมัดจำ 200,000 บาท และชดใช้ค่าเสียหาย 800,000 บาท พร้อมดอกเบี้ยอัตราร้อยละ 7.5 ต่อปี นับแต่วันฟ้องจนกว่าจะชำระเสร็จแก่โจทก์ ในวันนัดโอนที่ดินจำเลยที่ 1 ไปสำนักงานที่ดินแต่โจทก์ไม่มีเงินพร้อมที่จะชำระค่าที่ดินส่วนที่เหลือให้แก่จำเลยที่ 1 โจทก์จึงเป็นฝ่ายผิดสัญญา จำเลยที่ 1 ชอบที่จะริบมัดจำได้ และโจทก์ไม่เคยแจ้งให้จำเลยที่ 1 ปฏิบัติตามสัญญา จำเลยที่ 1 จดทะเบียนโอนขายที่ดินให้แก่จำเลยที่ 2 และที่ 3 โดยสุจริต จำเลยที่ 1 ไม่ต้องรับผิดชดใช้ค่าเสียหายแก่โจทก์ ขอให้ยกฟ้อง
จำเลยที่ 2 และที่ 3 ให้การว่า จำเลยที่ 2 และที่ 3 ซื้อที่ดินจากจำเลยที่ 1 และนายขอเดะ โดยเสียค่าตอบแทนและโดยสุจริตทั้งได้จดทะเบียนสิทธิโดยสุจริตแล้ว โจทก์ไม่มีสิทธิฟ้องขอให้เพิกถอนนิติกรรมการโอนที่ดินระหว่างจำเลยที่ 1 กับจำเลยที่ 2 และที่ 3 ขอให้ยกฟ้อง
ศาลชั้นต้นพิพากษายกฟ้องโจทก์","237, 1724, 1726",1443/2544
"จำเลยที่ 3 มิได้ตรวจดูอาการของโจทก์ตั้งแต่แรกเข้ารับการรักษาที่โรงพยาบาลพนมสารคามด้วยตนเอง แต่วินิจฉัยโรคและสั่งการรักษาอาการของโจทก์ตามที่ได้รับรายงานทางโทรศัพท์จากพยาบาลแทนโดยไม่ได้ตรวจสอบประวัติการรักษาของโจทก์ด้วยตนเอง แม้จำเลยที่ 3 จะสอบถามจากพยาบาลก่อนที่พยาบาลจะฉีดยาให้แก่โจทก์เพื่อทำการรักษาก็ตาม โจทก์ฟ้องโดยได้รับอนุญาตให้ดำเนินคดีอย่างคนอนาถาว่าจำเลยที่ 3 ตรวจอาการป่วยของโจทก์โดยประมาทเลินเล่อ เป็นเหตุให้โจทก์เกิดอาการแพ้ยา เกิดพุพองตามผิวหนังของร่างกายและเน่าเฟะ ที่นัยน์ตาของโจทก์เกิดอาการพร่ามัวทำให้โจทก์ขาดสมรรถภาพในการมองเห็น ขอให้บังคับจำเลยทั้งสามร่วมกันชำระเงิน 5,000,000 บาท พร้อมดอกเบี้ยอัตราร้อยละ 7.5 ต่อปี ของต้นเงินดังกล่าวนับจากวันฟ้องเป็นต้นไปจนกว่าจะชำระเสร็จแก่โจทก์","420, 446",6092/2552
"โจทก์กล่าวในคำฟ้องเกี่ยวกับการกระทำของจำเลยอันเป็นการผิดสัญญาจ้างทำของ ทำให้โจทก์ได้รับความเสียหาย โจทก์จึงเรียกค่าเสียหายจากจำเลยหลายรายการ แต่โจทก์คิดเพียง400,000 บาท โดยแนบภาพถ่ายทาวน์เฮาส์ เครื่องโม่ปูนวัสดุก่อสร้างที่เหลือ บ้านพักคนงาน รวมทั้งสิ่งก่อสร้างตามโครงการก่อสร้างของจำเลยที่ถนนเทพารักษ์มาท้ายฟ้องด้วยแม้มิได้บรรยายว่าโจทก์เริ่มลงมือก่อสร้างเมื่อใด  กรณีเพิ่งเริ่มงานตามสัญญา จำเลยก็ไม่ประสงค์ให้โจทก์ทำการก่อสร้าง เหตุบอกเลิกสัญญา ก็อ้างเหตุโจทก์ทิ้งงานเท่านั้น ซึ่งยังไม่พ้นกำหนดระยะเวลาก่อสร้างแล้วเสร็จ และโจทก์เองมิได้ทอดทิ้งงาน ทำงานเสร็จไปถึงงวดที่เท่าใดวัสดุก่อสร้างที่เหลืออยู่ จำนวนและราคาเท่าใดและการว่าจ้างโจทก์ก่อสร้างที่เทพารักษ์ และจำเลยผู้ว่าจ้างเห็นว่าหากให้ โจทก์ทำการก่อสร้างต่อไปจะเกิดความเสียหายเพราะงานล่าช้างานจำเลยจะเลิกสัญญาได้","205, 207, 387, 587, 594, 605, 606",5302/2538
"เงินประกันการเช่าตามสัญญาเช่าได้กำหนดให้โจทก์ผู้ให้เช่ามีสิทธินำค่าเช่าที่ค้างชำระหรือหนี้สินอื่นที่ค้างชำระมาหักเงินประกันค่าเช่าได้เมื่อจำเลยผู้เช่าขนย้ายทรัพย์สินและบริวารออกจากสถานที่เช่าเรียบร้อยแล้ว และให้โจทก์มีสิทธิยึดเงินประกันค่าเช่าได้ทั้งจำนวนในกรณีจำเลยมิได้บอกกล่าวเลิกสัญญาเช่าล่วงหน้าเป็นลายลักษณ์อักษรเป็นระยะเวลา 3 เดือน สำหรับเงินค่าชดเชยการยกเลิกสัญญาเช่าก่อนครบกำหนดตามสัญญาเช่าได้ระบุไว้ว่าหากจำเลยเลิกสัญญาเช่าก่อนครบกำหนดอายุสัญญา จำเลยจะต้องชำระค่าชดเชยการยกเลิกสัญญาก่อนกำหนดมีมูลค่าเท่ากับค่าเช่า 4 เดือนเพิ่มขึ้นอีกต่างหากนั้นค่าเสียหายในเชิงธุรกิจที่โจทก์เรียกร้องคือค่าเสียหายเกี่ยวกับค่าตกแต่งอาคารชั้นล่างเพื่อให้จำเลยทำสำนักงานชั่วคราว และค่าเสียหายในการบอกเลิกสัญญาที่โจทก์จะต้องชำระให้แก่บริษัท ป. อันเป็นผลสืบเนื่องมาจากโจทก์ต้องให้จำเลยเช่าพื้นที่ชั้นที่ 7 นั้น ล้วนแต่เป็นค่าเสียหายที่โจทก์ได้ใช้จ่ายหรือจะต้องเสียไปก่อนที่โจทก์จะเข้าทำสัญญาเช่ากับจำเลย เมื่อโจทก์ทำสัญญาเช่ากับจำเลยโจทก์ย่อมมีสิทธิที่จะกำหนดค่าเสียหายเหล่านี้ไว้ในสัญญาเช่าในลักษณะเป็นมัดจำหรือเบี้ยปรับหรือกำหนดอัตราค่าเช่าให้สูงขึ้นได้ตามแต่โจทก์จะกำหนดให้จำเลยผู้เช่ารับผิด และโจทก์ได้รับความเสียหายจากการที่จำเลยผิดสัญญาเช่านั้นด้วย ส่วนค่าเสียหายที่โจทก์ขาดรายได้จากดอกเบี้ยของเงินมัดจำที่จำเลยต้องวางไว้ต่อโจทก์จำนวนเงิน 8,500,000 บาท ตามสัญญาเช่า แม้เงินจำนวน 1,700,000 บาท จะเป็นเงินที่จำเลยจ่ายให้แก่โจทก์ตามสัญญาเช่าซึ่งเป็นข้อตกลงส่วนหนึ่งของการเช่าอาคาร และในสัญญาเช่าจะได้ระบุว่าเป็นมัดจำ","222, 377, 378, 379, 381, 383",4932/2541
โจทก์ฟ้องขอให้รัฐบาลใช้ค่าเสียหายในการที่ทรัพย์ของโจทก์ถูกระเบิดในระหว่างสงคราม ,"72, 73, 68",724/2490
"โจทก์ฟ้องว่า โจทก์ได้ซื้อที่ดินโฉนดเลขที่ 7147 และเลขที่2125 แล้วให้ลงชื่อจำเลยถือกรรมสิทธิ์ในโฉนดไว้แทนโดยตกลงกันว่าเมื่อใดโจทก์ประสงค์จะทำนิติกรรมเปลี่ยนแปลงในโฉนดดังกล่าว จำเลยก็จะจัดการให้ตามที่โจทก์ประสงค์เมื่อเดือนกุมภาพันธ์ 2531 โจทก์ตกลงขายที่ดินทั้ง 2 แปลงให้ผู้มีชื่อและได้แจ้งให้จำเลยไปดำเนินการจดทะเบียนโอนให้ผู้มีชื่อแต่จำเลยเพิกเฉยและอ้างว่าจำเลยเป็นเจ้าของที่ดินทั้ง 2 แปลงเองโจทก์จึงไม่ประสงค์ให้จำเลยลงชื่อถือกรรมสิทธิ์ในที่ดินดังกล่าวแทนโจทก์อีกต่อไป ขอบังคับให้จำเลยจัดการถอนชื่อจำเลยออกและใส่ชื่อโจทก์เป็นผู้ถือกรรมสิทธิ์ในที่ดินทั้ง 2 แปลง ดังกล่าวหากจำเลยไม่ดำเนินการให้ถือเอาคำพิพากษาเป็นการแสดงเจตนาแทน
จำเลยให้การว่า จำเลยเป็นเจ้าของที่ดินพิพาททั้ง 2 แปลงจำเลยได้ยอมให้โจทก์เก็บผลประโยชน์ในที่ดินพิพาทเพื่อเป็นการอุปการะแก่โจทก์แต่โจทก์กลับนำที่ดินไปขานให้แก่ผู้มีชื่อเมื่อจำเลยไม่ยินยอมโจทก์ได้ฟ้องจำเลยเป็นคดีแพ่งหมายเลขแดงที่ 840/2531","798, 810",128/2538
"โจทก์เป็นเจ้าของที่ดินเนื้อที่ประมาณ 15 ไร่ อยู่ที่ตำบลละเอาะ กิ่งอำเภอน้ำเกลี้ยง จังหวัดศรีสะเกษ จำเลยที่ 1 เป็นผู้ใหญ่บ้านหมู่ที่ 2 ตำบลละเอาะ กิ่งอำเภอน้ำเกลี้ยง จังหวัดศรีสะเกษ และเป็นสมาชิกสภาตำบลละเอาะ จำเลยที่ 2 เป็นนิติบุคคลมีหน้าที่จัดการปกครองดูแลที่ดินสาธารณประโยชน์ในเขตท้องที่ จำเลยที่ 3 เป็นผู้ใหญ่บ้านหมู่ที่ 11ตำบลละเอาะ กิ่งอำเภอน้ำเกลี้ยง จังหวัดศรีสะเกษ และเป็นสมาชิกสภาตำบลละเอาะ เมื่อปลายปี 2523 จำเลยที่ 1 จดแจ้งลงในทะเบียนที่ดินสาธารณประโยชน์ว่าที่ดินของโจทก์เป็นส่วนหนึ่งของที่ดินสาธารณประโยชน์หนองคู ซึ่งมีเนื้อที่ทั้งหมด 88 ไร่ ใช้เป็นที่เลี้ยงสัตว์และเพาะพันธุ์ปลา โจทก์กับพวกที่มีที่ดินอยู่บริเวณข้างเคียงได้คัดค้าน ต่อมาวันที่ 25 กุมภาพันธ์ 2535 จำเลยที่ 1 และที่ 3ยืนยันว่าที่ดินของโจทก์เป็นส่วนหนึ่งของที่ดินสาธารณประโยชน์หนองคู และนำรังวัดให้เจ้าพนักงานที่ดินปักหลักเสาปูนโจทก์กับพวกโต้แย้งคัดค้านและเกิดการวิวาททำร้ายร่างกายกัน จำเลยที่ 1ที่ 3 และเจ้าพนักงานที่ดินจึงกลับไป เมื่อต้นเดือนพฤษภาคม 2535โจทก์ขอออกโฉนดที่ดินในที่ดินของโจทก์ เจ้าพนักงานที่ดินจังหวัดศรีสะเกษ สาขากันทรารมย์ กำหนดวันนัดให้โจทก์นำเจ้าหน้าที่ไปรังวัดที่ดินและแจ้งให้จำเลยที่ 2 ไประวังแนวเขต เมื่อถึงวันนัดรังวัดจำเลยที่ 2ไม่ไประวังแนวเขต เจ้าพนักงานที่ดินไม่สามารถดำเนินการออกโฉนดที่ดินแก่โจทก์ได้ โจทก์สอบถามจำเลยที่ 2 จำเลยที่ 2 ยืนยันว่าที่ดินของโจทก์เป็นที่หนองสาธารณประโยชน์ที่ขึ้นทะเบียนไว้แล้ว ซึ่งเป็นการโต้แย้งสิทธิของโจทก์และทำให้โจทก์เสียหาย ขอให้พิพากษาว่า ที่ดินเนื้อที่ 15 ไร่ตามแผนที่สังเขปท้ายฟ้องเป็นของโจทก์ ห้ามจำเลยทั้งสามและบริวารเข้าเกี่ยวข้องและเพิกถอนเอกสารทะเบียนที่ดินสาธารณประโยชน์หนองคูในส่วนที่ดินของโจทก์ที่จำเลยที่ 1 นำไปจดทะเบียนไว้

จำเลยที่ 1 และที่ 3 ให้การและแก้ไขคำให้การว่า โจทก์ไม่มีอำนาจฟ้องเพราะจำเลยทั้งสองไม่ได้เข้าไปครอบครองที่ดินพิพาทที่โจทก์กล่าวอ้างว่าเป็นของตนจำเลยที่ 1 มีหน้าที่เพียงตรวจสอบที่ดินสาธารณประโยชน์ในเขตท้องที่และแจ้งให้นายอำเภอทราบตามแบบที่กำหนด โจทก์ไม่มีสิทธิครอบครองที่ดินพิพาท เนื่องจากที่ดินพิพาทเป็นส่วนหนึ่งของที่ดินสาธารณประโยชน์หนองคูที่ประชาชนใช้ร่วมกันมานานกว่า 100 ปี และได้ขึ้นทะเบียนเป็นที่ดินเพื่อดำเนินการออกหนังสือสำคัญสำหรับที่หลวง

จำเลยที่ 2 ให้การว่า โจทก์ไม่มีอำนาจฟ้อง เพราะจำเลยที่ 2 ไม่ได้เป็นนิติบุคคล โจทก์ไม่มีสิทธิครอบครองและห้ามจำเลยที่ 2 เกี่ยวข้องกับที่ดินพิพาทที่ดินพิพาทเป็นส่วนหนึ่งของที่ดินสาธารณประโยชน์หนองคูที่ประชาชนใช้ประโยชน์ร่วมกันมากว่า 100 ปี และขึ้นทะเบียนเป็นที่ดินสาธารณประโยชน์เพื่อดำเนินการออกหนังสือสำคัญสำหรับที่หลวง โจทก์จึงนำ ส.ค.1 ไปขอออกโฉนดที่ดินไม่ได้","1304, 1305, 1306",244/2545
"จำเลยได้ลักพานางสาวเซ็กโหงว อายุย่าง 18 ปี ไปจากความปกครองของโจทก์ในทางชู้สาว นางสาวเซ็กโหงวได้เอาทรัพย์ของโจทก์ไปด้วย จึงขอให้จำเลยส่งตัวนางสาวเซ็กโหงว และส่งทรัพย์คืนหรือใช้ราคา จำเลยต่อสู้ว่า มิได้ลักพานางสาวเซ็กโหงวไปจากความปกครองของโจทก์ นางสาวเซ็กโหงวไปหาจำเลยที่บ้านเองและไม่ยอมกลับ จำเลยไม่ได้หน่วงเหนี่ยวกักขังไว้ บัดนี้นางสาวเซ็กโหงวมีความกลัว จึงหนีไปแล้วก่อนโจทก์ฟ้อง นางสาวเซ็กโหงวไม่ปรากฏว่ามีทรัพย์ติดตัวมา วันที่ 23 กรกฎาคม 2489 นายเต็กแถลงยืนยันที่จะไม่ให้ความยินยอมให้จำเลยดำเนินคดีตามกฎหมายศาลแพ่งมีคำสั่งว่า การดำเนินคดีมาแล้วมีข้อหาบกพร่องในความสามารถ จึงให้เพิกถอนบรรดากระบวนพิจารณานับตั้งแต่คำให้การจำเลยตลอดมา และให้จำเลยยื่นคำให้การใหม่ภายใน 8 วัน จำเลยยื่นคำให้การใหม่มีข้อความทำนองเดียวกับคำให้การฉบับก่อน แต่กล่าวไว้ด้วยว่าบิดาจำเลยไม่ยินยอมให้จำเลยดำเนินคดี ศาลจึงไม่รับคำให้การจำเลย เพราะจำเลยไม่มีความสามารถ

โจทก์ยื่นคำร้อง ลงวันที่ 31 กรกฎาคม 2491 ว่านายเต็กบิดาจำเลยต้องรับผิดร่วมกับจำเลย โจทก์ขอเพิ่มเติมฟ้องเรียกนายเต็กมาเป็นจำเลยแทน ศาลสั่งให้หมายเรียก รุ่งขึ้นศาลแพ่งได้ออกหมายเรียกให้ โดยหมายถึงนายเต็ก แซ่โค้ว จำเลย ไม่ได้หมายเรียกในฐานะเป็นผู้แทนโดยชอบธรรมของนายซุ่นไล้ และในช่องชื่อของจำเลยในหมายก็ใส่ว่า นายซุ่นไล้ แซ่โค้ว กับพวกจำเลย

นายเต็ก แซ่โค้วให้การว่า เป็นบิดาและผู้ปกครองของจำเลยจำเลยยังไม่บรรลุนิติภาวะ โจทก์ไม่มีอำนาจเรียกนายเต็กเข้ามาเป็นจำเลยแทน เพราะจำเลยต้องรับผิดเป็นส่วนตัวอยู่แล้ว

ในวันที่ 24 กันยายน 2489 นายเต็กในฐานะผู้ปกครองของนายซุ่นไล้ ผู้เยาว์ยื่นคำร้องขอให้ศาลวินิจฉัยข้อตัดฟ้องในคำให้การของจำเลยที่ว่า โจทก์ไม่มีอำนาจเรียกจำเลยเข้ามาเป็นจำเลยแทนนายซุ่นไล้","429, 1552",1215/2492
